Activity	HOR RANGE	VER RANGE	HOR MEAN	VER MEAN	HOR STD DEV	VER STD DEV	
CLASSIFIED/TRAVELLING	2.8779738	5.9223204	1.0863287	9.38817	0.5579142	1.1612854	
CLASSIFIED/TRAVELLING	2.963207	6.462206	0.9949232	9.476232	0.61798877	1.2322495	
CLASSIFIED/TRAVELLING	2.6958797	6.8978496	1.0127707	9.410532	0.5468917	1.220273	
CLASSIFIED/TRAVELLING	3.2512567	7.4189444	1.0530523	9.699125	0.7036224	1.3435168	
CLASSIFIED/TRAVELLING	0.5929339	0.83385277	0.1189666	9.7820425	0.11022672	0.10996171	
CLASSIFIED/TRAVELLING	0.1772751	0.24906349	0.05629935	9.849678	0.028785182	0.052419785	
CLASSIFIED/TRAVELLING	0.14311449	0.27307987	0.04594043	9.844991	0.026573582	0.05113799	
CLASSIFIED/TRAVELLING	0.8729541	0.5500431	0.24123232	9.843611	0.22348322	0.0699074	
CLASSIFIED/TRAVELLING	5.2459335	6.1143494	4.1670556	8.734927	0.87020797	0.83091116	
CLASSIFIED/TRAVELLING	1.6022874	3.2781248	0.62521094	9.604845	0.33678132	0.6384697	
CLASSIFIED/TRAVELLING	2.1516092	3.6883087	0.7954	9.593222	0.48653293	0.6400588	
CLASSIFIED/TRAVELLING	0.14550535	0.21652794	0.04887442	9.407918	0.023621758	0.042248324	
CLASSIFIED/TRAVELLING	0.1636037	0.24587822	0.052385084	9.405079	0.03062263	0.047938056	
CLASSIFIED/TRAVELLING	1.2194366	1.0949507	0.45753458	9.400837	0.2711105	0.12544078	
CLASSIFIED/TRAVELLING	2.061286	5.111591	0.6388404	9.423641	0.40029734	0.869028	
CLASSIFIED/TRAVELLING	1.0330163	4.0713778	0.41414493	9.401567	0.23474984	0.50123465	
CLASSIFIED/TRAVELLING	2.6866121	1.287796	0.4280634	9.43462	0.27465743	0.24522075	
CLASSIFIED/TRAVELLING	0.77448356	1.0012054	0.28057277	9.419802	0.1619519	0.18687494	
CLASSIFIED/TRAVELLING	1.2440989	1.2887602	0.25169432	9.427484	0.18036546	0.16208585	
CLASSIFIED/TRAVELLING	1.4637079	0.9070349	0.4674765	9.44154	0.33448339	0.14377727	
CLASSIFIED/TRAVELLING	0.68941987	0.56678677	0.32952228	9.427264	0.16859958	0.11858401	
CLASSIFIED/TRAVELLING	1.6591629	1.7657862	0.439082	9.441911	0.34208778	0.23357789	
CLASSIFIED/TRAVELLING	1.7722178	3.4301915	0.6961684	9.403867	0.39220637	0.49900988	
CLASSIFIED/TRAVELLING	1.8148662	1.3455906	0.4793008	9.4192	0.31304058	0.1805294	
CLASSIFIED/TRAVELLING	0.18311308	0.27442455	0.055084627	9.4208	0.033253174	0.053940713	
CLASSIFIED/TRAVELLING	0.20886153	0.32472324	0.08268357	9.397832	0.042576972	0.066789754	
CLASSIFIED/TRAVELLING	1.0082612	0.8455076	0.42632514	9.398715	0.26109314	0.10684159	
CLASSIFIED/TRAVELLING	1.1244628	2.0690975	0.45404285	9.40138	0.27934295	0.3825954	
CLASSIFIED/TRAVELLING	1.9178885	3.930488	0.6587681	9.409189	0.39519882	0.72019166	
CLASSIFIED/TRAVELLING	1.9137956	3.7613025	0.6498652	9.377414	0.37183142	0.7763015	
CLASSIFIED/TRAVELLING	2.1496444	4.251214	0.93597424	9.514413	0.38479942	0.7067222	
CLASSIFIED/TRAVELLING	1.4734414	0.75588226	0.59303933	9.383155	0.38520125	0.11073574	
CLASSIFIED/TRAVELLING	0.12856643	0.24828625	0.045485187	9.398524	0.023179084	0.049189337	
CLASSIFIED/TRAVELLING	0.11038851	0.22830391	0.04751161	9.407096	0.023411196	0.04250151	
CLASSIFIED/TRAVELLING	0.11158264	0.23683453	0.051424965	9.395163	0.024503134	0.041284315	
CLASSIFIED/TRAVELLING	1.112341	0.7835007	0.47627002	9.396814	0.24386458	0.10169974	
CLASSIFIED/TRAVELLING	2.1092503	4.4934793	0.70818025	9.3603115	0.38254032	0.7200596	
CLASSIFIED/TRAVELLING	2.5525665	5.2522264	0.7640394	9.404139	0.4635579	1.0092107	
CLASSIFIED/TRAVELLING	1.572974	3.6920881	0.67683774	9.412499	0.32141343	0.60371655	
CLASSIFIED/TRAVELLING	1.5236475	2.9908438	0.542187	9.380622	0.25025058	0.48790056	
CLASSIFIED/TRAVELLING	1.4654303	2.7588415	0.4222894	9.406599	0.23887134	0.30343783	
CLASSIFIED/TRAVELLING	1.0022023	3.1493154	0.30921102	9.353591	0.15858419	0.4271936	
CLASSIFIED/TRAVELLING	1.0536222	1.2020702	0.5645118	9.392978	0.24815477	0.2877743	
