"TIME","X","Y","Z","AZIMUTH","PITCH","ROLL"
6561,-4.440233,-5.8567495,-2.8738933,0.29104096,0.83628017,2.1452284
6613,4.7943625,-3.636633,-1.1168685,0.36686125,0.6362574,-1.799669
6653,4.440233,-2.0294318,0.84446156,0.14550427,0.4220279,-1.3828567
6692,2.070293,-2.5333846,0.53119355,0.0955408,0.8699857,-1.3196354
6731,0.27240697,-4.944186,4.862464,-0.5448986,0.792948,-0.055963915
6770,-9.00305,-16.780268,16.126492,-0.6974145,0.7375158,0.5091757
6810,-8.499097,-14.560152,4.7943625,-1.039851,0.980357,1.0571903
6849,3.718355,-17.079916,2.1111538,-1.5559573,1.3254926,-1.054416
6888,5.366417,-10.18802,-1.56634,-0.8801634,1.0689392,-1.8547853
6930,1.920469,-2.5606253,-2.7240696,1.9162114,0.6550911,-2.5275187
6971,0.88532263,-8.158588,-4.5628166,1.4025134,1.0529575,-2.9499443
7011,0.88532263,-14.47843,-4.8216033,1.3750042,1.2443249,-2.9599996
7051,-0.7627395,-9.80665,-0.08172209,3.009443,1.4927324,1.677532
7090,-1.607201,-7.3141265,-1.0351465,2.6776073,1.3151435,2.14299
7129,-3.5957718,-9.112013,1.6480621,-2.5589185,1.1612489,1.141034
7168,-3.1463003,-8.771504,1.4573772,-2.483601,1.1943417,1.1370168
7208,-1.2666923,-9.152874,0.95342433,-2.2079854,1.3992836,0.92557704
7247,-1.879608,-9.302697,0.27240697,-2.6207705,1.3694034,1.4268708
7288,-1.4982382,-10.106298,1.2258313,-1.9244378,1.3815432,0.8850668
7328,-2.4516625,-10.882658,0.040861044,-2.4968436,1.349184,1.5541312
7367,-4.7126403,-11.604536,0.6946377,-2.290709,1.1812787,1.4244512
7425,-7.6273947,-12.408136,1.1168685,-2.233207,1.0148878,1.4254011
7469,-3.759216,-13.443283,3.1054392,-1.794489,1.222844,0.8803499
7510,-1.3756552,-16.126492,-1.8387469,2.7604861,1.4293491,2.4992778
7551,-0.08172209,-17.62473,0.42223078,-1.416944,1.5463988,0.19118446
7592,8.076866,-11.917805,-2.7921712,0.76587903,0.9487069,-1.9036351
7656,-3.3642259,-7.4639506,-2.6832085,2.560181,1.0478109,2.2440543
7685,-0.29964766,-4.0588636,-2.3018389,1.8458446,1.0512955,3.0121431
7723,4.4810944,-3.6774938,-0.50395286,-0.49972016,0.6841376,-1.6827878
7763,3.5276701,-1.7570249,0.7218784,-2.1382267,0.45396745,-1.3689498
7802,1.2258313,-2.7921712,1.3756552,-1.9194497,0.98748714,-0.72787005
7842,-2.7240696,-8.921328,10.61025,-2.6948981,0.68346536,0.2513115
7881,-11.454713,-18.619015,10.760075,3.1246796,0.8697503,0.8166572
7923,-1.1849703,-12.9529505,3.9499009,-2.7571416,1.2625736,0.29145682
7964,6.510526,-16.657684,-2.0294318,-0.7808197,1.1822209,-1.8729663
8004,1.9477097,-4.8216033,-1.4982382,-0.26441422,1.0994647,-2.226492
8044,0.3405087,-4.8216033,-3.568531,1.2470516,0.9314845,-3.0464609
8083,-0.040861044,-12.980191,-5.9793324,1.1596184,1.1391119,3.134759
8122,-0.42223078,-11.9450445,-0.84446156,1.4019005,1.4919204,2.6779451
