Timestamp,X-accel,Y-accel,Z-accel,X-mag,Y-mag,Z-mag,X-orien,Y-orien,Z-orien
 1297148189895,2.9147544,8.076866,3.1054392,17.125,123.6875,70.0625,105.0,-62.0,19.0
 1297148189945,2.7649305,7.5865335,4.140586,19.125,123.6875,70.5625,89.0,-57.0,18.0
 1297148189999,2.7921712,7.9679036,3.759216,20.125,122.875,71.3125,109.0,-63.0,18.0
 1297148190046,2.6423476,6.742072,2.4108016,21.625,121.875,70.3125,124.0,-62.0,20.0
 1297148190094,3.759216,6.66035,2.7921712,22.625,122.375,71.3125,99.0,-55.0,27.0
 1297148190145,4.099725,7.43671,1.607201,21.625,121.875,70.8125,105.0,-59.0,28.0
 1297148190195,4.671779,7.8861814,1.1849703,20.625,121.625,69.8125,111.0,-59.0,30.0
 1297148190294,5.243834,9.697687,2.2201166,20.875,121.125,70.0625,110.0,-60.0,28.0
 1297148190295,5.243834,9.697687,2.2201166,20.875,121.125,70.0625,110.0,-60.0,28.0
 1297148190345,5.6252036,9.765789,2.5333846,20.875,120.875,68.75,109.0,-58.0,29.0
 1297148190395,3.9090397,14.056199,2.982856,20.625,121.125,69.0625,133.0,-71.0,15.0
 1297148190445,0.46309182,10.528529,2.7649305,20.375,121.375,69.5625,176.0,-75.0,2.0
 1297148190494,-0.19068487,6.6331096,2.5333846,21.375,122.125,69.0625,221.0,-69.0,-2.0
 1297148190544,0.53119355,7.8180795,3.759216,21.125,122.625,67.5,140.0,-64.0,24.0
 1297148190595,3.486809,7.7772183,1.56634,19.875,122.625,67.5,140.0,-64.0,24.0
 1297148190647,4.3312707,7.8589406,0.27240697,18.875,121.625,68.25,121.0,-61.0,29.0
 1297148190695,2.4925237,7.504812,1.7570249,18.875,121.625,68.25,128.0,-68.0,18.0
 1297148190745,2.6423476,8.158588,1.1441092,18.125,120.875,66.5,133.0,-68.0,20.0
 1297148190795,3.990762,8.894087,1.0351465,17.375,120.625,66.25,128.0,-65.0,24.0
 1297148190870,4.440233,8.390134,1.1168685,17.375,120.375,65.5,118.0,-61.0,28.0
 1297148190896,4.140586,9.466142,1.920469,17.375,120.125,65.5,118.0,-64.0,23.0
 1297148190944,3.759216,11.413852,2.1792557,16.875,120.375,65.0,129.0,-69.0,18.0
 1297148190994,7.3958488,11.372991,3.990762,15.375,119.8125,65.0,105.0,-54.0,32.0
 1297148191044,6.3607025,8.158588,4.944186,15.625,118.8125,65.0,70.0,-45.0,34.0
 1297148191095,2.8738933,8.580819,2.9556155,16.125,118.0625,65.5,100.0,-64.0,18.0
 1297148191146,1.6889231,7.3958488,3.1463003,17.375,117.5625,65.75,127.0,-64.0,12.0
 1297148191195,3.1463003,7.9679036,4.099725,19.875,117.5625,65.75,94.0,-57.0,19.0
 1297148191245,2.4925237,7.7363577,2.7240696,20.875,117.3125,67.0,121.0,-64.0,17.0
 1297148191295,2.9147544,6.932757,3.0237172,21.625,116.8125,67.25,113.0,-59.0,21.0
 1297148191345,3.636633,7.205164,2.6832085,22.125,116.25,66.5,104.0,-58.0,25.0
 1297148191395,4.440233,7.6954966,1.4982382,22.625,115.75,67.0,107.0,-59.0,30.0
 1297148191445,4.372132,8.076866,1.4982382,22.375,114.75,67.0,112.0,-60.0,28.0
 1297148191495,4.0180025,9.193735,2.152015,22.625,114.5,67.0,121.0,-64.0,23.0
 1297148191545,4.5628166,10.800936,2.7921712,22.625,114.5,66.75,122.0,-64.0,22.0
 1297148191595,5.407278,13.947236,3.405087,22.875,114.0,67.25,127.0,-65.0,21.0
 1297148191645,1.6480621,11.876944,3.214402,23.125,114.0,67.5,162.0,-73.0,8.0
 1297148191710,-1.0760075,6.2108784,3.0237172,25.1875,114.5,67.0,238.0,-63.0,-9.0
 1297148191746,-1.1849703,7.668256,5.366417,25.1875,116.8125,67.5,285.0,-54.0,-7.0
 1297148191795,1.7570249,8.689782,3.2961242,24.625,116.8125,69.0625,221.0,-67.0,11.0
 1297148191846,4.4810944,8.076866,-0.42223078,23.125,116.0,68.75,139.0,-119.0,29.0
