"TIME","X","Y","Z","AZIMUTH","PITCH","ROLL"
2689,1.0351465,-2.4925237,9.302697,-3.1014156,0.26025265,-0.110817924
2708,0.9942854,-2.8738933,9.697687,-3.087753,0.286682,-0.10217109
2730,0.95342433,-2.9556155,10.337844,-3.0852063,0.27735642,-0.09196645
2750,1.0351465,-3.0237172,10.501288,-3.0729976,0.27907112,-0.098255865
2769,1.2666923,-2.7240696,10.56939,-3.0583985,0.25052455,-0.11927647
2788,1.2258313,-2.3699405,10.419566,-3.0641859,0.22216432,-0.11710874
2807,1.3075534,-2.6014864,10.228881,-3.0611265,0.24711849,-0.12714005
2827,1.7570249,-2.8330324,10.501288,-3.0418684,0.26005536,-0.16577959
2848,2.4925237,-3.255263,10.61025,-3.0253494,0.29023895,-0.2307329
2867,3.2961242,-3.5276701,9.997335,-2.9955869,0.3233548,-0.3184772
2888,3.7864566,-2.8330324,9.112013,-2.967161,0.27958924,-0.39383548
2923,4.1814466,-2.9147544,8.19945,-2.9350982,0.30668843,-0.47158918
2942,6.1700177,-3.718355,7.5865335,-2.8663845,0.363363,-0.68278956
2961,6.973618,-3.1054392,7.668256,-2.8356483,0.291097,-0.7379918
2981,7.5456724,-2.7513103,7.4639506,-2.790692,0.2536428,-0.7908427
3002,7.668256,-2.6832085,6.6331096,-2.750661,0.25871032,-0.8576531
3021,8.076866,-2.7240696,5.938472,-2.706361,0.26532066,-0.9368058
3044,8.853226,-2.4925237,5.325556,-2.648952,0.23672973,-1.0292464
3066,9.152874,-1.6480621,4.3312707,-2.5829337,0.16134149,-1.128806
3085,8.853226,-0.88532263,3.336985,-2.5139694,0.093301944,-1.2103407
3106,8.349273,-0.08172209,2.3699405,-2.4473794,0.009415673,-1.2942212
3125,7.8589406,1.0351465,1.8387469,-2.37602,-0.12755586,-1.3409618
3144,7.205164,1.607201,1.7978859,-2.336015,-0.21313907,-1.3262625
3173,6.5513873,1.920469,1.9477097,-2.2926753,-0.27392155,-1.2818209
3194,7.205164,1.1849703,2.1111538,-2.3052266,-0.15653469,-1.2857686
3220,7.8180795,-0.19068487,2.3426998,-2.322012,0.023359606,-1.2796593
3239,7.6273947,-0.84446156,1.56634,-2.2988555,0.10802891,-1.368255
3258,7.4639506,-1.4573772,0.8036005,-2.2681,0.19174843,-1.4635452
3279,7.5456724,-2.1383946,0.8036005,-2.2524009,0.274677,-1.4646981
3301,8.308413,-2.4516625,1.2258313,-2.2591166,0.28402916,-1.4243121
3321,9.234595,-2.8738933,1.7978859,-2.264479,0.29647115,-1.3785114
3351,9.615966,-3.336985,2.5606253,-2.3003457,0.32355517,-1.3105466
3370,9.302697,-3.718355,3.486809,-2.3544765,0.3581393,-1.2121861
3388,8.499097,-4.671779,2.7921712,-2.3512375,0.48126525,-1.2533789
3408,7.8180795,-5.366417,1.6889231,-2.3227541,0.59095114,-1.358038
3428,7.3958488,-5.5162406,0.8036005,-2.2819185,0.63803375,-1.4625653
3449,6.932757,-6.1700177,0.8036005,-2.2950606,0.72393894,-1.4553977
3468,6.469665,-6.932757,0.92618364,-2.3276792,0.81487584,-1.4286046
3487,6.4015636,-7.205164,1.1168685,-2.3474228,0.83693814,-1.3980669
3508,6.4015636,-7.3141265,1.7978859,-2.424732,0.83297855,-1.2969986
3529,6.5922484,-7.082581,2.7921712,-2.520415,0.7800192,-1.1701514
3553,6.510526,-6.932757,3.5957718,-2.5818324,0.75028795,-1.0661881
3573,7.205164,-7.5865335,3.445948,-2.5455387,0.7597019,-1.1246908
3593,6.4015636,-8.730643,2.982856,-2.5459397,0.8906397,-1.1347517
3612,5.243834,-9.275456,3.214402,-2.6289642,0.98526186,-1.0208822
3632,5.366417,-8.962189,3.445948,-2.6646097,0.9523242,-0.9999721
3651,5.134871,-8.349273,3.3778462,-2.688466,0.9362213,-0.98893994
3669,5.09401,-7.504812,3.214402,-2.6774611,0.8944692,-1.0078826
3688,4.903325,-6.4015636,3.445948,-2.7192912,0.8183417,-0.9582085
3707,4.671779,-5.597963,2.9556155,-2.6916654,0.7916667,-1.0067126
3728,5.053149,-5.47538,1.6889231,-2.5368662,0.7990464,-1.2482374
3749,5.706926,-5.8158884,2.6832085,-2.636679,0.7449696,-1.1312987
3768,6.66035,-7.8589406,3.7864566,-2.7196727,0.79812336,-1.0538553
3796,7.082581,-10.079058,3.1054392,-2.6636252,0.9163262,-1.1575792
3826,0.61291564,-12.217452,2.7921712,2.817568,1.34095,-0.21608497
3845,1.9885708,-9.656827,2.7240696,-3.0954952,1.2347865,-0.63057774
3863,3.0645783,-7.273266,2.6014864,-2.9063418,1.0658891,-0.86694765
3899,3.2961242,-6.891896,2.3426998,-2.854495,1.0401736,-0.9528961
3928,5.434519,-4.630918,2.0294318,-2.6766915,0.6736942,-1.2133996
3961,5.434519,-5.8158884,2.4925237,-2.7483037,0.7715825,-1.1407752
3982,5.6252036,-6.238119,2.5333846,-2.7569585,0.79094017,-1.1476405
4001,4.5628166,-5.7886477,2.6014864,-2.8321989,0.8339347,-1.0526152
4020,2.8330324,-5.325556,2.4925237,-2.9971428,0.95435464,-0.84924984
4048,1.5390993,-5.8567495,1.6480621,-3.0770705,1.203268,-0.75122344
4074,0.6537767,-8.390134,1.607201,2.886364,1.3668703,-0.38633722
4104,0.27240697,-9.234595,2.3426998,2.662273,1.320745,-0.11575922
4125,-0.040861044,-8.349273,1.4982382,2.5299094,1.3931754,0.027265972
4144,-0.38136974,-8.267551,1.4573772,2.3266528,1.3905611,0.25594315
4163,-1.1168685,-9.534244,2.152015,2.1261196,1.3217732,0.47872183
4220,-0.95342433,-11.073342,2.4516625,2.2096992,1.3375648,0.3708913
4229,-0.9125633,-11.795221,2.1792557,2.1626027,1.3731099,0.39656496
4248,-0.53119355,-11.073342,2.4516625,2.3082664,1.348017,0.21336865
4269,0.7218784,-9.656827,2.9147544,2.7046304,1.2693217,-0.24277845
4290,1.6889231,-8.880466,3.1463003,2.917037,1.18847,-0.4926497
4310,-1.0351465,-14.137921,2.152015,1.9694809,1.4034662,0.4483427
4330,-6.6331096,-16.821129,2.7921712,1.3079866,1.1665184,1.1723657
4349,-4.5628166,-11.141444,2.7921712,1.4683774,1.1231703,1.0216434
4368,0.10896278,-6.973618,1.3756552,2.471988,1.3754369,-0.0790429
4389,-0.6946377,-6.5513873,2.070293,2.1072266,1.249056,0.3237229
4412,-1.1849703,-7.3958488,1.9477097,1.9177397,1.2717777,0.54656696
4431,-0.9125633,-8.19945,1.9885708,2.0469127,1.3100296,0.43023387
4450,-0.84446156,-8.853226,1.920469,2.0858293,1.3381201,0.41426915
4469,-0.95342433,-9.656827,0.46309182,1.3943361,1.4614732,1.1186424
4488,-1.4165162,-9.997335,-0.6537767,0.5138054,1.4159926,2.003204
4507,-1.7297841,-9.915613,-0.7627395,0.534095,1.3824003,1.9860946
4529,-1.525479,-9.915613,-0.23154591,0.79104537,1.4164265,1.7214322
4551,-1.525479,-9.80665,2.6423476,1.9891132,1.269166,0.5235758
4571,-1.334794,-9.193735,6.66035,2.2733104,0.93446976,0.1977888
4591,-1.1441092,-9.343558,4.5219555,2.2740643,1.1077769,0.24781153
4611,-1.6480621,-9.997335,-0.38136974,0.7727148,1.4031774,1.7981987
4631,-1.920469,-9.493382,-2.1792557,0.17172684,1.2738692,2.4192338
4650,-1.6480621,-9.302697,0.040861044,1.0636722,1.3954028,1.546008
4675,-1.4165162,-9.956474,2.0294318,1.9984982,1.3271625,0.6093734
4704,-1.525479,-9.765789,0.84446156,1.542701,1.3941146,1.0652152
4723,-1.4982382,-9.697687,-0.42223078,0.75286394,1.4116412,1.8454902
4742,-1.4165162,-9.888372,-0.23154591,0.8693304,1.4266514,1.7328249
4761,-1.6889231,-9.888372,0.50395286,1.311594,1.3944081,1.2808199
4780,-1.9477097,-9.724928,0.6946377,1.3716546,1.3612807,1.2282155
4799,-1.9477097,-9.466142,0.50395286,1.2824408,1.3613807,1.3176076
4817,-1.7978859,-9.534244,0.53119355,1.3151557,1.3766435,1.2835149
4838,-1.7297841,-9.765789,0.42223078,1.2736062,1.3904496,1.3313835
4859,-1.9477097,-9.80665,0.313268,1.1963053,1.3722821,1.411323
4878,-1.879608,-9.724928,0.6537767,1.3780962,1.3689477,1.2360594
4897,-1.6480621,-9.80665,0.6946377,1.4323211,1.3904055,1.1719044
4918,-1.607201,-9.765789,0.46309182,1.3064365,1.4011722,1.2902595
4939,-1.56634,-9.656827,0.38136974,1.2668054,1.4053829,1.3319651
4958,-1.4982382,-9.615966,0.38136974,1.2638814,1.411385,1.3215442
4979,-1.3756552,-9.656827,0.38136974,1.2861389,1.4240322,1.3003602
5000,-1.3075534,-9.724928,0.50395286,1.3858311,1.4276866,1.2029246
5019,-1.2666923,-9.765789,0.5720546,1.4293789,1.4294248,1.1466019
5038,-1.1849703,-9.847511,0.61291564,1.4854311,1.4361405,1.0934509
5067,-1.1441092,-9.847511,0.61291564,1.4948388,1.4397471,1.0789872
5088,-1.1441092,-9.765789,0.61291564,1.4879478,1.4386642,1.0789871
5108,-1.1849703,-9.656827,0.6537767,1.5074036,1.431558,1.0666304
5129,-1.2258313,-9.615966,0.6537767,1.4847723,1.4273134,1.080839
5148,-1.2666923,-9.697687,0.6946377,1.4948939,1.4229147,1.0691923
5168,-1.3075534,-9.765789,0.6946377,1.4899242,1.42033,1.0824624
5189,-1.3075534,-9.80665,0.6946377,1.4993876,1.4209476,1.0824623
5208,-1.3756552,-9.80665,0.6537767,1.4739883,1.4167137,1.127146
5227,-1.4573772,-9.697687,0.6537767,1.4592749,1.4075526,1.1491088
5248,-1.4573772,-9.615966,0.7218784,1.502545,1.4032502,1.110894
5287,-1.4573772,-9.534244,0.6537767,1.4630973,1.4048047,1.1491088
5308,-1.4573772,-9.534244,0.61291564,1.4475139,1.4064665,1.1726917
5330,-1.4573772,-9.534244,0.5720546,1.425336,1.4080374,1.1967518
5348,-1.4165162,-9.615966,0.61291564,1.4593014,1.4116466,1.1624283
5367,-1.4165162,-9.765789,0.61291564,1.4541168,1.4140487,1.1624283
5388,-1.525479,-9.765789,0.53119355,1.3781704,1.4068744,1.2357132
5409,-1.6889231,-9.697687,0.42223078,1.2866966,1.3931713,1.3258177
5428,-1.607201,-9.656827,0.46309182,1.3174051,1.3992952,1.2902595
5447,-1.4573772,-9.697687,0.5720546,1.4114757,1.410734,1.1967518
5467,-1.3756552,-9.697687,0.5720546,1.430765,1.4183578,1.1767085
5488,-1.334794,-9.656827,0.53119355,1.4175097,1.4231136,1.1920505
5507,-1.1168685,-9.724928,0.50395286,1.4615105,1.4454604,1.1469287
5528,-0.95342433,-9.847511,0.53119355,1.5466614,1.4604152,1.0624857
5549,-1.1168685,-9.888372,0.5720546,1.512042,1.4445696,1.0974402
5569,-1.4165162,-9.80665,0.53119355,1.4049164,1.4177365,1.2120256
5589,-1.607201,-9.80665,0.53119355,1.3683472,1.3998724,1.2515903
5608,-1.7570249,-9.956474,0.53119355,1.3458488,1.3884845,1.2772074
5628,-1.879608,-9.847511,0.42223078,1.2854105,1.3776083,1.3498268
5648,-1.7570249,-9.493382,0.50395286,1.3453249,1.3805827,1.2914732
5669,-1.56634,-9.384419,0.50395286,1.3820205,1.3972263,1.2595166
5690,-1.525479,-9.425281,0.38136974,1.3164464,1.4054883,1.3258177
5708,-1.525479,-9.425281,0.313268,1.2695392,1.4070483,1.368255
5727,-1.525479,-9.493382,0.38136974,1.3127869,1.4066521,1.3258177
5748,-1.56634,-9.656827,0.53119355,1.3818725,1.4011682,1.2438375
5769,-1.607201,-9.80665,0.61291564,1.4137185,1.3971611,1.206465
5788,-1.7297841,-9.847511,0.61291564,1.395566,1.386552,1.2302686
5807,-1.6889231,-9.80665,0.6946377,1.44003,1.3866854,1.1805949
5828,-1.56634,-9.724928,0.7627395,1.5122317,1.3935306,1.1176379
5849,-1.4982382,-9.697687,0.7218784,1.5175611,1.4009562,1.1217997
5868,-1.4982382,-9.656827,0.5720546,1.4389502,1.4062252,1.2060615
5889,-1.4982382,-9.615966,0.46309182,1.3723842,1.4091387,1.2710203
5910,-1.4982382,-9.656827,0.42223078,1.3442619,1.4109793,1.2961024
5929,-1.4982382,-9.615966,0.46309182,1.3586812,1.4091387,1.2710203
5948,-1.4982382,-9.615966,0.53119355,1.399559,1.4069675,1.2300779
5967,-1.4982382,-9.656827,0.6537767,1.4723796,1.4031099,1.15934
5988,-1.525479,-9.656827,0.6537767,1.4659042,1.4005936,1.1659045
6009,-1.4982382,-9.697687,0.6537767,1.4803213,1.4038033,1.15934
6028,-1.4165162,-9.765789,0.6537767,1.4881992,1.4123824,1.1383886
6050,-1.3756552,-9.80665,0.6537767,1.5002552,1.4167137,1.127146
6070,-1.3756552,-9.765789,0.6946377,1.5241946,1.4142821,1.1031961
6091,-1.3075534,-9.724928,0.7218784,1.561409,1.4184034,1.066355
6110,-1.2258313,-9.615966,0.6946377,1.5778018,1.4253082,1.0552473
6129,-1.3075534,-9.575105,0.7218784,1.5679846,1.4160572,1.0663551
6148,-1.4573772,-9.615966,0.7218784,1.5287135,1.4032502,1.110894
6167,-1.56634,-9.615966,0.6946377,1.4861819,1.394458,1.1533791
6225,-1.6889231,-9.697687,0.6537767,1.4454434,1.386173,1.2014626
6225,-1.6480621,-9.724928,0.6537767,1.4562167,1.3904617,1.193143
6235,-1.6480621,-9.724928,0.61291564,1.4386648,1.3919207,1.2147455
6253,-1.607201,-9.724928,0.5720546,1.4181908,1.3971404,1.2288464
6272,-1.56634,-9.656827,0.53119355,1.3959315,1.4011682,1.2438375
6291,-1.56634,-9.575105,0.50395286,1.3758404,1.4006155,1.2595166
6329,-1.56634,-9.615966,0.53119355,1.3861027,1.4004618,1.2438375
6348,-1.607201,-9.697687,0.5720546,1.4036301,1.396663,1.2288464
6369,-1.56634,-9.724928,0.61291564,1.4430388,1.3995342,1.1978086
6390,-1.4982382,-9.724928,0.6537767,1.476205,1.4042623,1.15934
6409,-1.525479,-9.765789,0.6946377,1.4861022,1.4008138,1.1434964
6429,-1.4982382,-9.724928,0.6946377,1.4885556,1.4025857,1.1366605
6451,-1.4573772,-9.697687,0.6537767,1.460562,1.4075526,1.1491088
6471,-1.3756552,-9.697687,0.5720546,1.4399478,1.4183578,1.1767085
6490,-1.334794,-9.697687,0.61291564,1.4787202,1.4204816,1.1403315
6509,-1.334794,-9.697687,0.6537767,1.5006596,1.4187158,1.1153452
6552,-1.3075534,-9.697687,0.6946377,1.536489,1.4192894,1.0824624
6574,-1.334794,-9.724928,0.5720546,1.4540918,1.4225628,1.1659045
6595,-1.3756552,-9.697687,0.53119355,1.4224745,1.4198904,1.2022963
6614,-1.3756552,-9.656827,0.5720546,1.4503505,1.4177228,1.1767085
6634,-1.4165162,-9.656827,0.61291564,1.468587,1.4123083,1.1624283
6653,-1.4573772,-9.656827,0.6946377,1.5043778,1.4051455,1.1260145
6672,-1.4982382,-9.724928,0.6537767,1.4721851,1.4042623,1.15934
6690,-1.4982382,-9.765789,0.6537767,1.4775962,1.4049466,1.15934
6709,-1.4573772,-9.724928,0.6537767,1.4852971,1.4080014,1.1491088
6728,-1.4165162,-9.724928,0.6537767,1.4977841,1.4117281,1.1383886
6747,-1.3075534,-9.724928,0.6946377,1.551171,1.4197074,1.0824624
6767,-1.2258313,-9.724928,0.6946377,1.5710888,1.4269155,1.0552473
6788,-1.2666923,-9.697687,0.61291564,1.5064057,1.4266965,1.1201351
6809,-1.3075534,-9.724928,0.5720546,1.467376,1.4250782,1.1583859
6830,-1.334794,-9.724928,0.5720546,1.4609433,1.4225628,1.1659045
6849,-1.334794,-9.697687,0.61291564,1.4933681,1.4204816,1.1403315
6868,-1.334794,-9.656827,0.6537767,1.5211527,1.4180826,1.1153452
6887,-1.334794,-9.697687,0.6537767,1.5238296,1.4187158,1.1153452
6907,-1.3756552,-9.697687,0.61291564,1.4888048,1.41673,1.1516538
6946,-1.3756552,-9.697687,0.5720546,1.4586691,1.4183578,1.1767085
6983,-1.2666923,-9.724928,0.5720546,1.4804586,1.4288388,1.1466019
7002,-1.3075534,-9.765789,0.5720546,1.4640251,1.4256794,1.1583859
7061,-1.334794,-9.724928,0.5720546,1.4618516,1.4225628,1.1659045
7105,-1.3756552,-9.724928,0.61291564,1.4729577,1.4171551,1.1516538
7125,-1.4165162,-9.765789,0.61291564,1.4613761,1.4140487,1.1624283
7144,-1.4165162,-9.724928,0.5720546,1.4316139,1.4149815,1.1869787
7163,-1.3756552,-9.697687,0.50395286,1.4001372,1.4208574,1.2196425
7182,-1.334794,-9.697687,0.53119355,1.4295945,1.4237268,1.1920505
7201,-1.334794,-9.724928,0.5720546,1.4512689,1.4225628,1.1659045
7220,-1.334794,-9.724928,0.53119355,1.4224656,1.4241326,1.1920505
7239,-1.3756552,-9.656827,0.50395286,1.3957732,1.4202327,1.2196425
7257,-1.3756552,-9.656827,0.53119355,1.4069841,1.4192613,1.2022963
7278,-1.3756552,-9.697687,0.5720546,1.4385273,1.4183578,1.1767085
7299,-1.3756552,-9.724928,0.53119355,1.4239309,1.4203066,1.2022963
7319,-1.3756552,-9.697687,0.50395286,1.4052519,1.4208574,1.2196425
7340,-1.334794,-9.724928,0.53119355,1.4361959,1.4241326,1.1920505
7361,-1.4165162,-9.697687,0.50395286,1.3942459,1.416985,1.2289912
7379,-1.4573772,-9.724928,0.50395286,1.375472,1.413539,1.2378731
7398,-1.4573772,-9.724928,0.53119355,1.3915089,1.4126248,1.2212751
7435,-1.4573772,-9.656827,0.53119355,1.4016778,1.4115278,1.2212751
7454,-1.4573772,-9.615966,0.50395286,1.3938794,1.4117869,1.2378731
7473,-1.4165162,-9.656827,0.50395286,1.4093812,1.4163448,1.2289912
7492,-1.4165162,-9.697687,0.53119355,1.4284931,1.4160433,1.2120256
7511,-1.4165162,-9.697687,0.50395286,1.4037589,1.416985,1.2289912
7530,-1.3756552,-9.697687,0.50395286,1.4114734,1.4208574,1.2196425
7549,-1.3756552,-9.724928,0.5720546,1.448897,1.4187781,1.1767085
7568,-1.4165162,-9.724928,0.5720546,1.4389259,1.4149815,1.1869787
7590,-1.4982382,-9.724928,0.53119355,1.3960197,1.4087707,1.2300779
